,Unnamed: 0,Simulated River Discharge,Observed River Discharge,Date
0,0,39.89091289775104,41.900002011922176,2000-12-30
1,1,40.036936163073456,43.40000115941278,2000-12-31
2,2,40.3339313402573,42.09999935209286,2001-01-01
3,3,40.74490088555266,40.40000286443157,2001-01-02
4,4,41.30761573923306,38.5000008525094,2001-01-03
5,5,41.97015057702951,38.099997988077824,2001-01-04
6,6,42.56885633136563,38.099997988077824,2001-01-05
7,7,42.860239950704496,37.30000044330489,2001-01-06
8,8,42.85140522533699,36.59999884058722,2001-01-07
9,9,42.46036803171608,36.000001364015034,2001-01-08
10,10,41.82477112680259,35.599998499583464,2001-01-09
11,11,41.129896856593255,35.20000109121202,2001-01-10
12,12,40.40654468052893,35.40000115941278,2001-01-11
13,13,39.63511097455805,35.599998499583464,2001-01-12
14,14,38.73275092164791,35.20000109121202,2001-01-13
15,15,37.70228939693144,34.59999815857971,2001-01-14
16,16,36.60215125630899,34.40000081840902,2001-01-15
17,17,35.47195977246865,33.499999147490605,2001-01-16
18,18,34.20658212274157,33.499999147490605,2001-01-17
19,19,33.018058536023126,33.299999079289854,2001-01-18
20,20,31.9861934398379,32.70000160271766,2001-01-19
21,21,31.063936499644164,32.49999880648684,2001-01-20
22,22,30.32208759772741,32.49999880648684,2001-01-21
23,23,29.9619187463065,31.89999860188459,2001-01-22
24,24,30.10103463950276,32.70000160271766,2001-01-23
25,25,30.594763068883783,31.89999860188459,2001-01-24
26,26,31.44980271227569,31.700001261713904,2001-01-25
27,27,32.77708209222174,32.29999873828609,2001-01-26
28,28,34.28508527992487,31.89999860188459,2001-01-27
29,29,35.725127782633294,32.49999880648684,2001-01-28
30,30,36.90876546750422,32.900001670918414,2001-01-29
31,31,37.32811552116116,32.70000160271766,2001-01-30
32,32,36.58727803639124,33.299999079289854,2001-01-31
33,33,35.22694993621525,31.700001261713904,2001-02-01
34,34,34.0301781505934,31.10000105711165,2001-02-02
35,35,32.86026382096757,30.200002114223302,2001-02-03
36,36,31.680864130803585,30.89999826088083,2001-02-04
37,37,30.656386540036056,29.59999918159098,2001-02-05
38,38,29.697902042578413,28.600001568617287,2001-02-06
39,39,28.93989876962434,29.10000037510413,2001-02-07
40,40,28.515668611183763,29.10000037510413,2001-02-08
41,41,28.658300594130846,29.10000037510413,2001-02-09
42,42,28.76109310800714,29.79999924979173,2001-02-10
43,43,28.741381385764253,30.39999945439399,2001-02-11
44,44,28.63127434127452,29.59999918159098,2001-02-12
45,45,28.45909813372053,29.10000037510413,2001-02-13
46,46,28.320780530322224,29.39999911339023,2001-02-14
47,47,28.81119201614721,28.50000017050188,2001-02-15
48,48,29.78769719821082,29.10000037510413,2001-02-16
49,49,30.81557391444011,28.600001568617287,2001-02-17
50,50,31.48825566006563,27.99999863598497,2001-02-18
51,51,32.05296743175406,27.699999897698877,2001-02-19
52,52,32.46850369937927,27.099999693096617,2001-02-20
53,53,33.730223060788354,29.79999924979173,2001-02-21
54,54,35.225512264370664,27.79999856778421,2001-02-22
55,55,36.52927193310597,27.699999897698877,2001-02-23
56,56,38.06238390953307,27.299999761297368,2001-02-24
57,57,39.48580452505167,28.900000306903383,2001-02-25
58,58,41.72894907074771,30.79999959079549,2001-02-26
59,59,43.80510271203699,27.699999897698877,2001-02-27
60,60,45.24542074578204,27.299999761297368,2001-02-28
61,61,46.008723558142336,26.29999942029361,2001-03-01
62,62,46.0996228839438,26.09999935209286,2001-03-02
63,63,45.53481426718804,25.40000047740526,2001-03-03
64,64,44.74486405714677,25.60000054560601,2001-03-04
65,65,43.75749995140696,25.60000054560601,2001-03-05
66,66,42.338390987407074,24.400000136401506,2001-03-06
67,67,40.95375204730132,25.20000040920451,2001-03-07
68,68,39.990180455778805,24.700001602717663,2001-03-08
69,69,39.37218343683366,24.700001602717663,2001-03-09
70,70,38.80916849984604,24.600000204602257,2001-03-10
71,71,38.27834022558763,24.400000136401506,2001-03-11
72,72,37.79542979943182,23.89999860188459,2001-03-12
73,73,37.47419198306984,24.499998806486847,2001-03-13
74,74,37.23326464380964,23.89999860188459,2001-03-14
75,75,36.88387355717048,24.400000136401506,2001-03-15
76,76,36.84518054273476,24.10000139811541,2001-03-16
77,77,36.4951579171354,24.400000136401506,2001-03-17
78,78,35.90916069085998,24.700001602717663,2001-03-18
79,79,35.47178245051439,23.700001261713904,2001-03-19
80,80,35.13990395288146,24.400000136401506,2001-03-20
81,81,34.79011730188278,23.89999860188459,2001-03-21
82,82,35.11373941652211,25.40000047740526,2001-03-22
83,83,36.122630407509725,25.10000173911917,2001-03-23
84,84,36.80266965022221,24.10000139811541,2001-03-24
85,85,37.06949145086528,23.89999860188459,2001-03-25
86,86,36.97890039246123,23.89999860188459,2001-03-26
87,87,36.68138688956491,23.89999860188459,2001-03-27
88,88,36.39592855152856,24.700001602717663,2001-03-28
89,89,36.331747552189775,26.29999942029361,2001-03-29
90,90,36.67126862605153,25.40000047740526,2001-03-30
91,91,37.17530764506556,26.09999935209286,2001-03-31
92,92,37.50016692133964,25.20000040920451,2001-04-01
93,93,37.55356674585911,24.20000006820075,2001-04-02
94,94,37.60815326345712,24.10000139811541,2001-04-03
95,95,37.60243940448468,24.400000136401506,2001-04-04
96,96,37.41271582554111,24.89999894288835,2001-04-05
97,97,37.312427984268815,26.09999935209286,2001-04-06
98,98,37.172822409675774,24.10000139811541,2001-04-07
99,99,36.99405732750581,26.09999935209286,2001-04-08
100,100,36.87741903803522,28.200001432215785,2001-04-09
101,101,36.88802152688525,28.39999877238647,2001-04-10
