,epoch,loss,lr,mean_absolute_error,val_loss,val_mean_absolute_error
0,0,0.4067864120006561,0.001,0.4067864120006561,0.2891086637973785,0.2891086637973785
1,1,0.3193158209323883,0.0009999933,0.3193158209323883,0.225289449095726,0.225289449095726
2,2,0.2633096575736999,0.0009999867,0.2633096575736999,0.1602236032485962,0.1602236032485962
3,3,0.2118730843067169,0.00099998,0.2118730843067169,0.1405906975269317,0.1405906975269317
4,4,0.1824630349874496,0.0009999734,0.1824630349874496,0.1166320517659187,0.1166320517659187
5,5,0.1653006374835968,0.0009999666,0.1653006374835968,0.0931974649429321,0.0931974649429321
6,6,0.1430223733186721,0.00099996,0.1430223733186721,0.0986562967300415,0.0986562967300415
7,7,0.1388255357742309,0.0009999534,0.1388255357742309,0.0860891565680503,0.0860891565680503
8,8,0.1283494234085083,0.0009999466,0.1283494234085083,0.081227995455265,0.081227995455265
9,9,0.1238960698246955,0.00099994,0.1238960698246955,0.0833794176578521,0.0833794176578521
10,10,0.1183890998363494,0.0009999333,0.1183890998363494,0.0806638151407241,0.0806638151407241
11,11,0.1095026955008506,0.0009999267,0.1095026955008506,0.0919546410441398,0.0919546410441398
12,12,0.1065272539854049,0.00099992,0.1065272539854049,0.0940836295485496,0.0940836295485496
13,13,0.1027112528681755,0.0009999133,0.1027112528681755,0.0939177572727203,0.0939177572727203
14,14,0.0999091118574142,0.0009999067,0.0999091118574142,0.0981004238128662,0.0981004238128662
15,15,0.1014808192849159,0.0009999,0.1014808192849159,0.0923413038253784,0.0923413038253784
16,16,0.0962445437908172,0.0009998933,0.0962445437908172,0.0922218859195709,0.0922218859195709
17,17,0.0954167321324348,0.0009998867,0.0954167321324348,0.0853717848658561,0.0853717848658561
18,18,0.087586298584938,0.00099988,0.087586298584938,0.0825889557600021,0.0825889557600021
19,19,0.087547168135643,0.0009998734,0.087547168135643,0.0782659873366355,0.0782659873366355
20,20,0.0826137885451316,0.0009998666,0.0826137885451316,0.0800443589687347,0.0800443589687347
21,21,0.0796458348631858,0.00099986,0.0796458348631858,0.0759340673685073,0.0759340673685073
22,22,0.0792039856314659,0.0009998534,0.0792039856314659,0.0740253180265426,0.0740253180265426
23,23,0.0768259689211845,0.0009998467,0.0768259689211845,0.0724823325872421,0.0724823325872421
24,24,0.0731647089123725,0.00099984,0.0731647089123725,0.0749114155769348,0.0749114155769348
