epoch,loss,lr,mean_absolute_error,val_loss,val_mean_absolute_error
0,0.4109194874763489,0.01,0.4109194874763489,0.29706549644470215,0.29706549644470215
1,0.2778850197792053,0.0099990005,0.2778850197792053,0.2713906764984131,0.2713906764984131
2,0.25478750467300415,0.009998,0.25478750467300415,0.24710676074028015,0.24710676074028015
3,0.2324674129486084,0.009997,0.2324674129486084,0.22529640793800354,0.22529640793800354
4,0.2123079001903534,0.009996001,0.2123079001903534,0.20727194845676422,0.20727194845676422
5,0.19575034081935883,0.009995001,0.19575034081935883,0.19338788092136383,0.19338788092136383
6,0.1831408143043518,0.009994002,0.1831408143043518,0.18465617299079895,0.18465617299079895
7,0.17463083565235138,0.009993003,0.17463083565235138,0.18095362186431885,0.18095362186431885
8,0.1704253852367401,0.009992003,0.1704253852367401,0.17934581637382507,0.17934581637382507
9,0.1689077913761139,0.009991004,0.1689077913761139,0.17721833288669586,0.17721833288669586
10,0.16701970994472504,0.009990005,0.16701970994472504,0.173115536570549,0.173115536570549
11,0.1632682979106903,0.009989006,0.1632682979106903,0.16725851595401764,0.16725851595401764
12,0.15798531472682953,0.009988007,0.15798531472682953,0.1608222872018814,0.1608222872018814
13,0.1523495465517044,0.009987009,0.1523495465517044,0.15507298707962036,0.15507298707962036
14,0.14726556837558746,0.009986009,0.14726556837558746,0.15065926313400269,0.15065926313400269
15,0.14326848089694977,0.009985011,0.14326848089694977,0.14742936193943024,0.14742936193943024
16,0.14034275710582733,0.009984013,0.14034275710582733,0.144931361079216,0.144931361079216
17,0.13820107281208038,0.009983014,0.13820107281208038,0.14280009269714355,0.14280009269714355
18,0.13641312718391418,0.009982016,0.13641312718391418,0.14064626395702362,0.14064626395702362
19,0.13457100093364716,0.0099810185,0.13457100093364716,0.13823740184307098,0.13823740184307098
20,0.13246749341487885,0.00998002,0.13246749341487885,0.13556815683841705,0.13556815683841705
21,0.13007564842700958,0.009979022,0.13007564842700958,0.132731631398201,0.132731631398201
22,0.1274849772453308,0.009978024,0.1274849772453308,0.12989240884780884,0.12989240884780884
23,0.12485235184431076,0.009977027,0.12485235184431076,0.12730304896831512,0.12730304896831512
24,0.12242113798856735,0.009976028,0.12242113798856735,0.1252186894416809,0.1252186894416809
25,0.12032949924468994,0.009975031,0.12032949924468994,0.12353686988353729,0.12353686988353729
26,0.11859183013439178,0.009974034,0.11859183013439178,0.12214352190494537,0.12214352190494537
27,0.11706642806529999,0.009973036,0.11706642806529999,0.12074889987707138,0.12074889987707138
28,0.11550693213939667,0.00997204,0.11550693213939667,0.11918328702449799,0.11918328702449799
29,0.11376474052667618,0.009971042,0.11376474052667618,0.11737558990716934,0.11737558990716934
30,0.11187077313661575,0.009970045,0.11187077313661575,0.11541797965765,0.11541797965765
31,0.10992779582738876,0.009969048,0.10992779582738876,0.11345828324556351,0.11345828324556351
32,0.1080501526594162,0.009968051,0.1080501526594162,0.11158148944377899,0.11158148944377899
33,0.1063191369175911,0.009967054,0.1063191369175911,0.10982855409383774,0.10982855409383774
34,0.10473766177892685,0.009966058,0.10473766177892685,0.108190156519413,0.108190156519413
