epoch,loss,lr,mean_absolute_error,val_loss,val_mean_absolute_error
0,0.1056269183754921,0.001,0.1056269183754921,0.10269685834646225,0.10269685834646225
1,0.10212383419275284,0.0009997867,0.10212383419275284,0.09951694309711456,0.09951694309711456
2,0.09990522265434265,0.0009995734,0.09990522265434265,0.09661784768104553,0.09661784768104553
3,0.09748292714357376,0.0009993602,0.09748292714357376,0.09379337728023529,0.09379337728023529
4,0.09519609063863754,0.0009991471,0.09519609063863754,0.09108557552099228,0.09108557552099228
5,0.09272857010364532,0.0009989339,0.09272857010364532,0.08830276131629944,0.08830276131629944
6,0.08848195523023605,0.0009987209,0.08848195523023605,0.08552729338407516,0.08552729338407516
7,0.086402028799057,0.0009985078,0.086402028799057,0.08265511691570282,0.08265511691570282
8,0.08457861840724945,0.0009982948,0.08457861840724945,0.07954732328653336,0.07954732328653336
9,0.08109913766384125,0.0009980819,0.08109913766384125,0.07638382166624069,0.07638382166624069
10,0.07897613197565079,0.000997869,0.07897613197565079,0.07348322868347168,0.07348322868347168
11,0.07680078595876694,0.0009976561,0.07680078595876694,0.0706389844417572,0.0706389844417572
12,0.07456888258457184,0.0009974432,0.07456888258457184,0.06779129058122635,0.06779129058122635
13,0.07211611419916153,0.0009972305,0.07211611419916153,0.06516477465629578,0.06516477465629578
14,0.06845983117818832,0.0009970178,0.06845983117818832,0.06295173615217209,0.06295173615217209
15,0.0673305094242096,0.0009968051,0.0673305094242096,0.06129488721489906,0.06129488721489906
16,0.06599549949169159,0.0009965925,0.06599549949169159,0.05931790918111801,0.05931790918111801
17,0.06385760009288788,0.0009963799,0.06385760009288788,0.05732668191194534,0.05732668191194534
18,0.06148519739508629,0.0009961673,0.06148519739508629,0.05653974413871765,0.05653974413871765
19,0.060069452971220016,0.0009959548,0.060069452971220016,0.05595571920275688,0.05595571920275688
20,0.05968578904867172,0.0009957424,0.05968578904867172,0.05710748955607414,0.05710748955607414
21,0.06072281301021576,0.00099553,0.06072281301021576,0.055760063230991364,0.055760063230991364
22,0.05702429637312889,0.0009953177,0.05702429637312889,0.05468429625034332,0.05468429625034332
23,0.056475795805454254,0.0009951054,0.056475795805454254,0.05450296029448509,0.05450296029448509
24,0.05477314814925194,0.0009948931,0.05477314814925194,0.05494241416454315,0.05494241416454315
25,0.05517362803220749,0.0009946809,0.05517362803220749,0.05325377359986305,0.05325377359986305
26,0.051595885306596756,0.0009944687,0.051595885306596756,0.051805730909109116,0.051805730909109116
27,0.05156336724758148,0.0009942566,0.05156336724758148,0.050592467188835144,0.050592467188835144
28,0.050636205822229385,0.0009940445,0.050636205822229385,0.050329819321632385,0.050329819321632385
29,0.04943346604704857,0.0009938325,0.04943346604704857,0.04905474931001663,0.04905474931001663
30,0.04807261377573013,0.0009936205,0.04807261377573013,0.04722922295331955,0.04722922295331955
31,0.048178717494010925,0.0009934085,0.048178717494010925,0.049497295171022415,0.049497295171022415
32,0.04733145236968994,0.0009931966,0.04733145236968994,0.0461776964366436,0.0461776964366436
33,0.046786192804574966,0.0009929847,0.046786192804574966,0.0481061227619648,0.0481061227619648
34,0.046807099133729935,0.0009927729,0.046807099133729935,0.04797587916254997,0.04797587916254997
35,0.0457160584628582,0.0009925611,0.0457160584628582,0.04629560187458992,0.04629560187458992
36,0.04592432826757431,0.0009923495,0.04592432826757431,0.04669787362217903,0.04669787362217903
37,0.045409224927425385,0.0009921377,0.045409224927425385,0.04730190336704254,0.04730190336704254
38,0.0456659197807312,0.0009919261,0.0456659197807312,0.0459294356405735,0.0459294356405735
39,0.044685110449790955,0.0009917145,0.044685110449790955,0.0459408238530159,0.0459408238530159
40,0.04480380192399025,0.000991503,0.04480380192399025,0.04820508137345314,0.04820508137345314
41,0.04694880172610283,0.0009912915,0.04694880172610283,0.04593925550580025,0.04593925550580025
42,0.043870873749256134,0.0009910801,0.043870873749256134,0.04583009332418442,0.04583009332418442
43,0.04455428943037987,0.0009908687,0.04455428943037987,0.04904649034142494,0.04904649034142494
44,0.046117205172777176,0.0009906573,0.046117205172777176,0.046551305800676346,0.046551305800676346
45,0.04355846345424652,0.000990446,0.04355846345424652,0.04593620449304581,0.04593620449304581
46,0.04420166835188866,0.0009902347,0.04420166835188866,0.048785410821437836,0.048785410821437836
47,0.04437824711203575,0.0009900235,0.04437824711203575,0.04706190526485443,0.04706190526485443
48,0.04282601550221443,0.0009898122,0.04282601550221443,0.04580496624112129,0.04580496624112129
49,0.04372437298297882,0.0009896011,0.04372437298297882,0.047320637851953506,0.047320637851953506
50,0.042938802391290665,0.0009893901,0.042938802391290665,0.04744758456945419,0.04744758456945419
51,0.043108705431222916,0.000989179,0.043108705431222916,0.04639974236488342,0.04639974236488342
52,0.04271792620420456,0.000988968,0.04271792620420456,0.04607647657394409,0.04607647657394409
53,0.044019583612680435,0.000988757,0.044019583612680435,0.04784736782312393,0.04784736782312393
54,0.04390651732683182,0.0009885461,0.04390651732683182,0.047412481158971786,0.047412481158971786
55,0.043730027973651886,0.0009883352,0.043730027973651886,0.04597049579024315,0.04597049579024315
56,0.043529897928237915,0.0009881244,0.043529897928237915,0.04656819999217987,0.04656819999217987
57,0.04277540743350983,0.0009879136,0.04277540743350983,0.04808459058403969,0.04808459058403969
58,0.043052006512880325,0.0009877029,0.043052006512880325,0.04647616669535637,0.04647616669535637
59,0.04363596439361572,0.0009874923,0.04363596439361572,0.04574194923043251,0.04574194923043251
60,0.043186336755752563,0.0009872816,0.043186336755752563,0.0474756620824337,0.0474756620824337
61,0.04343089461326599,0.000987071,0.04343089461326599,0.04746109992265701,0.04746109992265701
62,0.04258958622813225,0.0009868604,0.04258958622813225,0.04608245939016342,0.04608245939016342
63,0.04236319661140442,0.0009866499,0.04236319661140442,0.045883700251579285,0.045883700251579285
64,0.042985789477825165,0.0009864394,0.042985789477825165,0.046835336834192276,0.046835336834192276
65,0.042788293212652206,0.000986229,0.042788293212652206,0.04670962691307068,0.04670962691307068
66,0.04388223588466644,0.0009860187,0.04388223588466644,0.04568512365221977,0.04568512365221977
67,0.041725605726242065,0.0009858083,0.041725605726242065,0.04566798731684685,0.04566798731684685
68,0.04228626564145088,0.0009855981,0.04228626564145088,0.04676543176174164,0.04676543176174164
69,0.042077913880348206,0.0009853878,0.042077913880348206,0.04560075327754021,0.04560075327754021
70,0.04272320121526718,0.0009851776,0.04272320121526718,0.04560607299208641,0.04560607299208641
71,0.04225819557905197,0.0009849675,0.04225819557905197,0.0461859256029129,0.0461859256029129
72,0.042267922312021255,0.0009847573,0.042267922312021255,0.045395299792289734,0.045395299792289734
73,0.0418676920235157,0.0009845473,0.0418676920235157,0.04545268788933754,0.04545268788933754
