,inv_yhat_test,inv_y_test
0,29.759387066204855,32.40000286443157
1,32.62691222119959,31.199999727196992
2,30.861145656686283,31.700001261713904
3,32.24079230177196,32.900001670918414
4,33.01614755096216,32.40000286443157
5,33.62245223304606,31.199999727196992
6,31.418476743032183,32.09999867008534
7,32.62128156714415,31.500001193513153
8,32.37322724933752,30.29999805627858
9,31.881636231512907,30.79999959079549
10,52.26162490336806,38.700000920710146
11,44.39632411588808,30.59999952259474
12,36.65113576416726,33.59999781757595
13,31.529480286402237,31.79999993179925
14,38.68815308613516,31.199999727196992
15,44.146231959622426,32.29999873828609
16,44.27073379575716,36.000001364015034
17,48.00820591443738,37.70000057970639
18,40.74707376149993,36.79999890878798
19,39.20355162234243,35.599998499583464
20,38.185090701884626,35.599998499583464
21,38.726623766120525,37.70000057970639
22,45.335091094038944,40.49999880648684
23,43.36155775972807,41.000000341003755
24,38.58246374533294,38.9000009889109
25,41.39408338019293,40.900001670918414
26,36.70410046789126,45.40000184142029
27,35.452886750264874,47.90000132991466
28,43.11726812341199,52.000001364015034
29,50.397240051982614,54.299998056278575
30,54.50169495918014,57.300001807319916
31,61.25750591897273,55.20000245522706
32,64.75373833895023,53.39999911339023
33,54.41666771809492,53.09999764707407
34,46.9652090915694,50.40000081840902
35,51.832824953563815,52.400001500416536
36,52.676121791538264,49.400003205435326
37,54.42392700609953,49.400003205435326
38,49.21845826062849,47.79999720376918
39,45.89072261765397,43.40000115941278
40,51.862091260107775,41.7999978857767
41,59.1022148535099,42.69999955669511
42,57.426085900892716,43.999998635984966
43,54.83974971688163,46.900003716940965
44,61.82095597675582,50.70000228472518
45,65.8131388066028,50.70000228472518
46,65.6556960074257,54.00000204602255
47,68.60263138960055,48.999997612973694
48,65.19227190002862,45.99999931799248
49,57.75504267832536,50.40000081840902
50,65.89854524386713,49.7999978857767
51,68.47080752076968,48.70000160271766
52,64.37654180586725,47.50000119351316
53,61.30867557891356,48.89999894288835
54,64.0926548131487,47.29999839728234
55,51.29950598785549,44.09999730607031
56,54.24619584732444,43.20000109121202
57,53.8279561019042,46.49999812447933
58,53.51592675102872,48.59999747657219
59,65.3666639500034,45.20000177321954
60,50.44029927853835,48.49999880648684
61,52.75066794111138,49.099996283059035
62,59.932739054717125,56.900001670918414
63,81.37385776528643,53.09999764707407
64,79.05088560381024,55.39999979539775
65,65.73007301913475,59.00000102301127
66,69.72754822730901,48.89999894288835
67,74.37978338759271,55.49999846548309
68,77.73736640751518,51.09999696506655
69,65.6597662282836,58.79999822678046
70,72.60973381587638,57.99999795397745
71,71.85513341942541,49.7999978857767
72,68.46846687097339,48.89999894288835
73,63.53388059889808,54.699998192680084
74,75.696347065441,59.49999982949812
75,75.52079287465827,61.99999931799248
76,75.51168671029923,79.10000105711165
77,77.14325601982459,68.99999897698872
78,73.20189639010012,71.3000011253124
79,75.13520219306336,77.90000064790713
80,81.50212428291172,83.1999956351519
81,86.9942653397983,91.40000115941278
82,76.8371710464621,87.59999713556843
83,73.00471983301728,77.99999931799249
84,72.61981115893879,72.6999988746876
85,71.70909651395269,65.09999628305904
86,72.77355747737695,65.09999628305904
87,69.2489235363863,64.89999894288835
88,69.68219199943803,59.00000102301127
89,65.64233957222443,56.60000020460225
90,77.4163863899944,62.599996794564674
91,67.07561110430998,61.50000051150564
92,70.25471821324943,63.5999998635985
93,75.19575354839985,67.09999696506655
94,74.25782953153927,72.80000300083307
95,112.86899215316252,93.40000184142029
96,106.17103998303165,96.60000293263232
97,88.88698896750542,105.00000034100376
98,96.21057118470503,95.6999930776237
99,110.65062357652243,144.00000545606014
100,142.59556101767797,144.00000545606014
101,157.3735945103851,137.99999795397744
102,153.20925661521716,123.99999863598497
103,138.61695832149766,146.9999982949812
104,144.22432591229588,188.99999624895867
105,146.39057820256238,167.00000511505638
106,198.56535354076138,195.00000375104133
107,222.12719644783206,188.99999624895867
108,191.9844065801449,193.00000852509396
109,176.332214045331,188.00000954810523
110,185.8622706280846,136.00000272803007
111,185.02596573116833,138.99999556695116
112,166.15288630696,160.9999976129737
113,170.22186318315414,138.99999556695116
114,173.55494849308735,150.00000204602256
115,173.13601037197031,179.9999959079549
116,205.68346053341853,185.99999249791733
117,234.57301521320068,198.00000750208267
118,237.66915474375443,196.99999897698873
119,225.44709991648818,201.99999795397744
120,232.48738166743337,208.9999812447933
121,249.12620446789944,246.0000129581428
122,268.01798726623764,311.00002148323676
123,259.3301717738231,276.99999352092857
124,267.229892116641,254.9999805627858
125,265.12009913661257,253.0000071610789
126,299.3150175668086,256.0000109121203
127,294.1740558202692,246.99999965899624
128,306.29246732928243,269.0000126171391
129,349.1538571446596,266.0000088660977
130,344.1605363852715,332.99999079289853
131,338.7446110323582,279.99999727196996
132,306.711885583691,264.99997851676324
133,301.29774981850073,276.99999352092857
134,299.9242194168222,257.9999843138271
135,316.65086296116067,273.0000030690338
136,321.57314581764007,351.0000132991466
137,337.12431394306395,323.99997953977453
138,322.1524484581345,306.0000006820075
139,370.4464155219455,376.0000300083307
140,358.27820109605426,386.0000279623082
141,340.1495028676711,354.0000170501879
142,325.13152276251236,403.00002011922174
143,340.59423724108865,364.00001500416533
144,337.84121842006823,396.0000259162856
145,351.05791300925927,393.0000221652443
146,341.01904608290687,388.000001364015
147,333.5462733574787,388.000001364015
148,384.28649771749133,468.0000286443157
149,405.5349929531573,453.9999965899624
150,359.57757272842906,435.000031031342
151,340.42826389189634,394.0000088660977
152,366.2655675888204,391.00000511505635
153,364.8234217749314,373.0000262572894
154,368.3567881401621,414.0000047740526
155,351.32384138005585,362.9999846548309
