,Unnamed: 0,Simulated River Discharge,Observed River Discharge,Date
0,0,19.903876496622868,41.900002011922176,2000-12-30
1,1,23.13324210346122,43.40000115941278,2000-12-31
2,2,21.562682458323373,42.09999935209286,2001-01-01
3,3,53.01260247589189,40.40000286443157,2001-01-02
4,4,42.62143774686541,38.5000008525094,2001-01-03
5,5,17.954928169263354,38.099997988077824,2001-01-04
6,6,25.27692812902491,38.099997988077824,2001-01-05
7,7,28.287560285201906,37.30000044330489,2001-01-06
8,8,23.050091747061145,36.59999884058722,2001-01-07
9,9,33.06231127573257,36.000001364015034,2001-01-08
10,10,27.79058959208789,35.599998499583464,2001-01-09
11,11,27.39118416624069,35.20000109121202,2001-01-10
12,12,28.60916229357764,35.40000115941278,2001-01-11
13,13,16.55049464300146,35.599998499583464,2001-01-12
14,14,25.075970522271128,35.20000109121202,2001-01-13
15,15,33.10544688713014,34.59999815857971,2001-01-14
16,16,29.779934588659103,34.40000081840902,2001-01-15
17,17,24.789680135064767,33.499999147490605,2001-01-16
18,18,21.33681248101035,33.499999147490605,2001-01-17
19,19,24.52342440066032,33.299999079289854,2001-01-18
20,20,29.746881776384058,32.70000160271766,2001-01-19
21,21,26.53820554956336,32.49999880648684,2001-01-20
22,22,26.375102088000112,32.49999880648684,2001-01-21
23,23,22.763888656816885,31.89999860188459,2001-01-22
24,24,32.93528328375707,32.70000160271766,2001-01-23
25,25,23.58273416131319,31.89999860188459,2001-01-24
26,26,29.029737232734043,31.700001261713904,2001-01-25
27,27,33.33995926369104,32.29999873828609,2001-01-26
28,28,44.84758666525264,31.89999860188459,2001-01-27
29,29,30.966955030811395,32.49999880648684,2001-01-28
30,30,34.71183102308971,32.900001670918414,2001-01-29
31,31,43.759189966032615,32.70000160271766,2001-01-30
32,32,37.02417477943025,33.299999079289854,2001-01-31
33,33,33.53378034379317,31.700001261713904,2001-02-01
34,34,34.73017429725093,31.10000105711165,2001-02-02
35,35,35.690626386393404,30.200002114223302,2001-02-03
36,36,37.31036695755424,30.89999826088083,2001-02-04
37,37,38.5044911899974,29.59999918159098,2001-02-05
38,38,41.48796307884109,28.600001568617287,2001-02-06
39,39,34.28796062361403,29.10000037510413,2001-02-07
40,40,39.42876960046976,29.10000037510413,2001-02-08
41,41,40.91122478660837,29.10000037510413,2001-02-09
42,42,45.16325248020559,29.79999924979173,2001-02-10
43,43,30.578920034277697,30.39999945439399,2001-02-11
44,44,31.263786526191303,29.59999918159098,2001-02-12
45,45,43.48884218652974,29.10000037510413,2001-02-13
46,46,25.872282498425417,29.39999911339023,2001-02-14
47,47,18.444151256991,28.50000017050188,2001-02-15
48,48,31.028652158775444,29.10000037510413,2001-02-16
49,49,40.08247107691374,28.600001568617287,2001-02-17
50,50,29.309764062909736,27.99999863598497,2001-02-18
51,51,30.623823409157797,27.699999897698877,2001-02-19
52,52,31.2975813626442,27.099999693096617,2001-02-20
53,53,40.16224958815271,29.79999924979173,2001-02-21
54,54,44.39725437414046,27.79999856778421,2001-02-22
55,55,33.43324697981497,27.699999897698877,2001-02-23
56,56,30.896037161225557,27.299999761297368,2001-02-24
57,57,28.53201360332192,28.900000306903383,2001-02-25
58,58,29.89168561226713,30.79999959079549,2001-02-26
59,59,43.72256889043174,27.699999897698877,2001-02-27
60,60,40.27181818770825,27.299999761297368,2001-02-28
61,61,34.17485649709345,26.29999942029361,2001-03-01
62,62,33.550715954440534,26.09999935209286,2001-03-02
63,63,44.58176741565869,25.40000047740526,2001-03-03
64,64,36.817030000487634,25.60000054560601,2001-03-04
65,65,37.61479328863683,25.60000054560601,2001-03-05
66,66,44.76312685442106,24.400000136401506,2001-03-06
67,67,48.79426049754495,25.20000040920451,2001-03-07
68,68,47.65742489647978,24.700001602717663,2001-03-08
69,69,32.876521516143626,24.700001602717663,2001-03-09
70,70,29.9570710368799,24.600000204602257,2001-03-10
