,epoch,loss,lr,mean_absolute_error,val_loss,val_mean_absolute_error
0,0,0.3407647013664245,0.001,0.1467409878969192,0.3258472084999084,0.1364659518003463
1,1,0.3126916289329529,0.0009997867,0.1233103573322296,0.3143226504325866,0.1295946389436721
2,2,0.3022311329841614,0.0009995734,0.117503136396408,0.3095406293869018,0.1295147538185119
3,3,0.2983480989933014,0.0009993602,0.1183222308754921,0.3062318563461303,0.1309396475553512
4,4,0.2954140901565552,0.0009991471,0.1201218888163566,0.3022022247314453,0.1316355466842651
5,5,0.2917296290397644,0.0009989339,0.1211629435420036,0.2970197200775146,0.1311327964067459
6,6,0.2866804599761963,0.0009987209,0.1207935363054275,0.2909942865371704,0.1297141909599304
7,7,0.2802068889141083,0.0009985078,0.1189268082380294,0.28474161028862,0.1279785931110382
8,8,0.2736049890518188,0.0009982948,0.1168419793248176,0.2787140607833862,0.1263679265975952
9,9,0.2670935988426208,0.0009980819,0.1147474497556686,0.2733327746391296,0.1252935528755188
10,10,0.2610460221767425,0.000997869,0.1130067929625511,0.2686759531497955,0.1248230263590812
11,11,0.2558742761611938,0.0009976561,0.1120213344693183,0.2645881474018097,0.1247863322496414
12,12,0.2511450946331024,0.0009974432,0.1113432794809341,0.2605457305908203,0.1246399357914924
13,13,0.2468091249465942,0.0009972305,0.1109033226966857,0.2558965682983398,0.1237141489982605
14,14,0.2420209944248199,0.0009970178,0.1098385825753212,0.2502435147762298,0.121612548828125
15,15,0.2358237504959106,0.0009968051,0.1071927845478057,0.2439268678426742,0.1186793893575668
16,16,0.2295102626085281,0.0009965925,0.1042628139257431,0.2376343011856079,0.1156200468540191
17,17,0.22333624958992,0.0009963799,0.1013219878077507,0.2318985760211944,0.1129935085773468
18,18,0.2182492911815643,0.0009961673,0.0993442386388778,0.2266287803649902,0.1107424646615982
19,19,0.2141171991825103,0.0009959548,0.0982308983802795,0.2215275466442108,0.1086158752441406
20,20,0.2094773352146148,0.0009957424,0.0965656638145446,0.2167357802391052,0.1067626401782035
21,21,0.2030630409717559,0.00099553,0.0930898934602737,0.213268756866455,0.1061823144555091
22,22,0.1974505335092544,0.0009953177,0.0903640836477279,0.2114326506853103,0.1071433573961258
23,23,0.1938428729772567,0.0009951054,0.0895535796880722,0.2090605795383453,0.1074356958270073
24,24,0.1910107880830764,0.0009948931,0.089385911822319,0.204767107963562,0.1056639179587364
25,25,0.186412438750267,0.0009946809,0.087309256196022,0.1998445838689804,0.103154182434082
26,26,0.1830372810363769,0.0009944687,0.0863468721508979,0.1956861019134521,0.1013673469424247
27,27,0.1807269155979156,0.0009942566,0.086408145725727,0.1933709383010864,0.1014554128050804
