,epoch,loss,lr,mean_absolute_error,val_loss,val_mean_absolute_error
0,0,0.1260172128677368,0.001,0.1260172128677368,0.1274173706769943,0.1274173706769943
1,1,0.1174689531326294,0.00099968,0.1174689531326294,0.12876757979393,0.12876757979393
2,2,0.1199856996536254,0.0009993602,0.1199856996536254,0.1230907961726188,0.1230907961726188
3,3,0.113384373486042,0.0009990404,0.113384373486042,0.1194905042648315,0.1194905042648315
4,4,0.1075565591454505,0.0009987209,0.1075565591454505,0.1262586414813995,0.1262586414813995
5,5,0.1114991754293441,0.0009984013,0.1114991754293441,0.1207898408174514,0.1207898408174514
6,6,0.1056291982531547,0.0009980819,0.1056291982531547,0.111043095588684,0.111043095588684
7,7,0.1003782674670219,0.0009977625,0.1003782674670219,0.1084247156977653,0.1084247156977653
8,8,0.1015730053186416,0.0009974432,0.1015730053186416,0.1054773032665252,0.1054773032665252
9,9,0.099287524819374,0.0009971241,0.099287524819374,0.101525068283081,0.101525068283081
10,10,0.0929799303412437,0.0009968051,0.0929799303412437,0.106321096420288,0.106321096420288
11,11,0.0927918255329132,0.0009964862,0.0927918255329132,0.1096857115626335,0.1096857115626335
12,12,0.091705098748207,0.0009961673,0.091705098748207,0.1017553135752677,0.1017553135752677
13,13,0.0866860821843147,0.0009958487,0.0866860821843147,0.0896885469555854,0.0896885469555854
14,14,0.0846625789999961,0.00099553,0.0846625789999961,0.0852231085300445,0.0852231085300445
15,15,0.0856380760669708,0.0009952115,0.0856380760669708,0.0864316821098327,0.0864316821098327
16,16,0.0788204073905944,0.0009948931,0.0788204073905944,0.095440499484539,0.095440499484539
17,17,0.076632559299469,0.0009945747,0.076632559299469,0.0876767337322235,0.0876767337322235
18,18,0.0739024803042411,0.0009942566,0.0739024803042411,0.0756548941135406,0.0756548941135406
19,19,0.0711036995053291,0.0009939384,0.0711036995053291,0.0741508230566978,0.0741508230566978
20,20,0.0683734118938446,0.0009936205,0.0683734118938446,0.0841197147965431,0.0841197147965431
21,21,0.0669752657413482,0.0009933026,0.0669752657413482,0.0770376995205879,0.0770376995205879
22,22,0.0641711950302124,0.0009929847,0.0641711950302124,0.0655867680907249,0.0655867680907249
23,23,0.0621143504977226,0.000992667,0.0621143504977226,0.0658715665340423,0.0658715665340423
24,24,0.0588709376752376,0.0009923495,0.0588709376752376,0.0732934474945068,0.0732934474945068
25,25,0.0590041168034076,0.0009920319,0.0590041168034076,0.0669390708208084,0.0669390708208084
26,26,0.0577736981213092,0.0009917145,0.0577736981213092,0.0560687892138958,0.0560687892138958
27,27,0.0598937533795833,0.0009913972,0.0598937533795833,0.0675728321075439,0.0675728321075439
28,28,0.0564585588872432,0.0009910801,0.0564585588872432,0.0653002709150314,0.0653002709150314
29,29,0.0569993108510971,0.000990763,0.0569993108510971,0.0519891194999218,0.0519891194999218
30,30,0.0570676550269126,0.000990446,0.0570676550269126,0.0565522909164428,0.0565522909164428
31,31,0.0533928051590919,0.0009901291,0.0533928051590919,0.0631520971655845,0.0631520971655845
32,32,0.0570793598890304,0.0009898122,0.0570793598890304,0.0506851188838481,0.0506851188838481
33,33,0.0516751334071159,0.0009894955,0.0516751334071159,0.049674917012453,0.049674917012453
34,34,0.0518475994467735,0.000989179,0.0518475994467735,0.0574541091918945,0.0574541091918945
35,35,0.052195593714714,0.0009888625,0.052195593714714,0.053183052688837,0.053183052688837
36,36,0.0503710396587848,0.0009885461,0.0503710396587848,0.050132468342781,0.050132468342781
37,37,0.0502571575343608,0.0009882298,0.0502571575343608,0.0519851669669151,0.0519851669669151
38,38,0.0496413372457027,0.0009879136,0.0496413372457027,0.0532923266291618,0.0532923266291618
39,39,0.0500030592083931,0.0009875975,0.0500030592083931,0.0499760061502456,0.0499760061502456
40,40,0.0482392460107803,0.0009872816,0.0482392460107803,0.0479310676455497,0.0479310676455497
41,41,0.0506668835878372,0.0009869657,0.0506668835878372,0.0526954270899295,0.0526954270899295
42,42,0.0493096187710762,0.0009866499,0.0493096187710762,0.0485882833600044,0.0485882833600044
43,43,0.0476263538002967,0.0009863343,0.0476263538002967,0.0456857569515705,0.0456857569515705
44,44,0.0477088838815689,0.0009860187,0.0477088838815689,0.0476847738027572,0.0476847738027572
45,45,0.0465425141155719,0.0009857032,0.0465425141155719,0.0489864535629749,0.0489864535629749
46,46,0.0469634756445884,0.0009853878,0.0469634756445884,0.0439168624579906,0.0439168624579906
47,47,0.0473395064473152,0.0009850726,0.0473395064473152,0.0481085442006588,0.0481085442006588
48,48,0.0454168543219566,0.0009847573,0.0454168543219566,0.046415276825428,0.046415276825428
49,49,0.0441594235599041,0.0009844423,0.0441594235599041,0.0442790612578392,0.0442790612578392
50,50,0.0449558459222316,0.0009841273,0.0449558459222316,0.04534612596035,0.04534612596035
51,51,0.0447414293885231,0.0009838125,0.0447414293885231,0.0454047694802284,0.0454047694802284
52,52,0.0442349873483181,0.0009834977,0.0442349873483181,0.0454182736575603,0.0454182736575603
53,53,0.0447006709873676,0.000983183,0.0447006709873676,0.0473495200276374,0.0473495200276374
54,54,0.0437110625207424,0.0009828685,0.0437110625207424,0.0452989526093006,0.0452989526093006
55,55,0.042043425142765,0.0009825539,0.042043425142765,0.0465853326022625,0.0465853326022625
56,56,0.0426235683262348,0.0009822396,0.0426235683262348,0.0472391545772552,0.0472391545772552
57,57,0.0429026000201702,0.0009819253,0.0429026000201702,0.0449516475200653,0.0449516475200653
58,58,0.0432702004909515,0.0009816112,0.0432702004909515,0.0449082106351852,0.0449082106351852
