,inv_yhat_train,inv_y_train
0,27.894669395151404,27.799998567784215
1,31.948347478737563,28.700000238702632
2,27.086555960933246,29.100000375104134
3,34.30417330629401,28.39999877238647
4,36.94452175757429,28.200001432215785
5,35.33534139079747,28.700000238702632
6,33.02683597275926,28.700000238702632
7,32.22138509588514,28.39999877238647
8,32.99916283577361,27.799998567784215
9,31.437960333760838,27.699999897698873
10,31.372711310651354,27.699999897698873
11,38.543605685078255,27.799998567784215
12,34.82796326298312,29.799999249791732
13,33.262074005317615,28.39999877238647
14,37.13132361631757,29.999999317992483
15,32.291304506466965,28.900000306903383
16,33.08222589521159,28.700000238702632
17,33.063560713502625,28.200001432215785
18,36.35004854188498,29.799999249791732
19,35.09255762707761,29.999999317992483
20,32.91932976393333,29.200001773219544
21,32.556370819762805,28.39999877238647
22,35.426252992734234,28.200001432215785
23,32.57733845884715,30.700000920710146
24,39.0241645493175,28.700000238702632
25,38.45863300459435,30.59999952259474
26,35.86323430470527,29.70000057970639
27,31.722788496852022,29.999999317992483
28,36.52797339079474,29.200001773219544
29,39.83890164053498,32.09999867008534
30,34.10986936487027,34.69999955669511
31,34.88938485991054,38.79999959079549
32,53.765372364168826,43.20000109121202
33,41.79488828546379,45.59999918159098
34,45.02809495863454,47.40000252342781
35,49.94088154245548,44.09999730607031
36,53.754078319697165,42.59999815857971
37,44.956252286856454,42.29999942029361
38,50.57582781219832,44.09999730607031
39,48.25760787909643,43.40000115941278
40,52.34989304417124,47.199999727196996
41,54.10781925027596,39.70000126171391
42,45.94448663418719,38.9000009889109
43,48.810222201458885,41.000000341003755
44,46.46046351276837,45.50000051150564
45,48.434717047016576,48.999997612973694
46,50.949008685024715,48.0
47,48.44239372362123,42.09999935209286
48,46.667619203831244,45.30000044330489
49,44.091856864354504,41.20000040920451
50,48.25552639215637,42.79999822678046
51,52.7941963888384,43.69999989769887
52,43.4524802737851,48.20000279623082
53,55.42562963786424,49.20000040920451
54,60.291414991684626,46.900003716940965
55,54.19514076464637,49.20000040920451
56,52.3830713458293,45.50000051150564
57,53.00889508303271,46.2000021142233
58,56.16925516936122,51.599995771553395
59,50.89187009530032,54.299998056278575
60,55.916219468654766,54.10000071610789
61,45.959357126074885,53.09999764707407
62,65.78381521142745,52.80000163681804
63,50.08126869766232,50.89999962489587
64,48.901128347335515,50.20000347823834
65,63.19818831523342,52.59999884058722
66,63.18769085554092,60.200001432215785
67,65.14810236523617,55.99999727196993
68,62.00201806024104,60.400004228446605
69,72.09371601684423,53.79999924979173
70,69.66379962073562,52.100000034100376
71,65.4229213860166,52.80000163681804
72,73.40099348034914,57.0999990110891
73,73.2615584076352,63.40000252342781
74,67.52305441158266,72.00000272803007
75,71.74236211257285,68.59999884058722
76,61.13292496996609,78.19999665816317
77,95.59239411577555,84.80000163681804
78,93.91889498414162,75.6999971696688
79,81.79718801480911,89.30000180731992
80,81.37337763199488,84.80000163681804
81,82.89582573889547,105.00000034100376
82,107.96235182107942,115.9999959079549
83,87.84361567648837,105.00000034100376
84,87.18367792331439,105.00000034100376
85,112.09813815358059,115.9999959079549
86,108.55307945148863,123.99999863598497
87,101.76895426764499,136.00000272803007
88,111.79582877382892,137.99999795397744
89,124.99472569487189,128.0
90,125.19053278086177,115.9999959079549
91,91.59300928655534,113.00000306903382
92,99.34131850467124,109.99999931799249
93,126.00734863098926,105.00000034100376
94,92.52366583132113,105.99999795397746
95,101.21137765859318,114.00000068200751
96,107.37116042555905,119.99999727196993
97,96.35736648253601,109.00000170501879
98,119.59396818912342,137.00000034100376
99,150.93014026507586,391.9999918159098
100,168.93865240088812,630.0000129581429
101,208.45998406148433,292.9999989769887
102,194.11711501272455,250.99999011089102
103,178.2223896929568,241.999978857767
